2021 NSS results split by teaching provider,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,%Agree,,,,
UKPRN,Provider,Question Number,Answered 1,Answered 2,Answered 3,Answered 4,Answered 5,N/A,Confidence interval - min,Actual value,Confidence interval - max,Response,Sample Size
10007783,University of Aberdeen,Q01,1%,3%,7%,61%,28%,0,87%,89%,91%,1301,2023
10007783,University of Aberdeen,Q02,1%,5%,10%,54%,30%,0,82%,84%,86%,1301,2023
10007783,University of Aberdeen,Q03,1%,4%,8%,38%,49%,1,85%,87%,89%,1300,2023
10007783,University of Aberdeen,Q04,2%,7%,12%,40%,39%,1,77%,79%,81%,1300,2023
10007783,University of Aberdeen,Scale01,1%,5%,9%,48%,37%,2,82%,85%,87%,1301,2023
10007783,University of Aberdeen,Q05,2%,5%,10%,42%,41%,1,81%,83%,85%,1300,2023
10007783,University of Aberdeen,Q06,1%,4%,9%,44%,42%,1,84%,86%,88%,1300,2023
10007783,University of Aberdeen,Q07,2%,8%,14%,40%,35%,2,73%,76%,78%,1299,2023
10007783,University of Aberdeen,Scale02,2%,6%,11%,42%,39%,4,79%,81%,84%,1301,2023
10007783,University of Aberdeen,Q08,6%,12%,15%,38%,29%,2,64%,67%,70%,1299,2023
10007783,University of Aberdeen,Q09,4%,9%,15%,45%,26%,4,68%,71%,74%,1297,2023
10007783,University of Aberdeen,Q10,9%,18%,16%,39%,18%,3,54%,57%,60%,1298,2023
10007783,University of Aberdeen,Q11,4%,14%,16%,45%,21%,4,63%,66%,69%,1297,2023
10007783,University of Aberdeen,Scale03,6%,13%,16%,42%,24%,13,62%,65%,68%,1301,2023
10007783,University of Aberdeen,Q12,1%,4%,7%,36%,53%,0,86%,88%,90%,1301,2023
10007783,University of Aberdeen,Q13,3%,8%,11%,46%,31%,2,75%,77%,80%,1299,2023
10007783,University of Aberdeen,Q14,4%,10%,18%,39%,30%,44,66%,69%,72%,1257,2023
10007783,University of Aberdeen,Scale04,3%,7%,12%,40%,38%,46,76%,78%,81%,1301,2023
10007783,University of Aberdeen,Q15,4%,10%,15%,46%,25%,0,69%,72%,74%,1301,2023
10007783,University of Aberdeen,Q16,2%,6%,10%,41%,41%,4,80%,82%,84%,1297,2023
10007783,University of Aberdeen,Q17,4%,8%,12%,40%,37%,7,74%,77%,79%,1294,2023
10007783,University of Aberdeen,Scale05,4%,8%,12%,43%,34%,11,74%,77%,79%,1301,2023
10007783,University of Aberdeen,Q18,3%,5%,13%,41%,38%,28,76%,79%,81%,1273,2023
10007783,University of Aberdeen,Q19,3%,7%,10%,36%,44%,21,77%,80%,82%,1280,2023
10007783,University of Aberdeen,Q20,3%,5%,12%,39%,42%,44,79%,81%,83%,1257,2023
10007783,University of Aberdeen,Scale06,3%,6%,12%,39%,41%,93,77%,80%,82%,1300,2023
10007783,University of Aberdeen,Q21,7%,11%,18%,37%,27%,4,61%,64%,67%,1297,2023
10007783,University of Aberdeen,Q22,2%,7%,11%,38%,42%,6,77%,80%,82%,1295,2023
10007783,University of Aberdeen,Scale07,5%,9%,15%,37%,34%,10,69%,72%,74%,1300,2023
10007783,University of Aberdeen,Q23,1%,3%,6%,38%,52%,5,88%,90%,91%,1296,2023
10007783,University of Aberdeen,Q24,5%,10%,14%,36%,34%,5,67%,70%,73%,1296,2023
10007783,University of Aberdeen,Q25,8%,15%,26%,30%,21%,14,49%,52%,55%,1287,2023
10007783,University of Aberdeen,Scale08,5%,9%,15%,35%,36%,24,68%,71%,73%,1298,2023
10007783,University of Aberdeen,Q26,7%,10%,26%,36%,20%,61,53%,56%,59%,1240,2023
10007783,University of Aberdeen,Q27,2%,6%,7%,45%,39%,7,82%,85%,87%,1294,2023
10007849,Abertay University,Q01,2%,4%,4%,59%,30%,2,86%,89%,91%,676,965
10007849,Abertay University,Q02,2%,6%,9%,54%,29%,1,80%,83%,86%,677,965
10007849,Abertay University,Q03,2%,5%,10%,40%,43%,0,80%,83%,86%,678,965
10007849,Abertay University,Q04,4%,7%,11%,36%,42%,2,75%,78%,82%,676,965
10007849,Abertay University,Scale01,2%,6%,9%,48%,36%,5,80%,83%,86%,678,965
10007849,Abertay University,Q05,3%,6%,9%,38%,44%,1,78%,82%,85%,677,965
10007849,Abertay University,Q06,3%,6%,11%,42%,39%,1,77%,80%,83%,677,965
10007849,Abertay University,Q07,3%,7%,11%,39%,41%,3,76%,80%,83%,675,965
10007849,Abertay University,Scale02,3%,6%,10%,40%,41%,5,77%,81%,84%,678,965
10007849,Abertay University,Q08,5%,9%,13%,37%,36%,1,70%,73%,77%,677,965
10007849,Abertay University,Q09,6%,9%,14%,40%,32%,1,68%,72%,75%,677,965
10007849,Abertay University,Q10,7%,11%,15%,39%,29%,1,64%,68%,72%,677,965
10007849,Abertay University,Q11,4%,9%,11%,42%,35%,1,73%,77%,80%,677,965
10007849,Abertay University,Scale03,5%,9%,13%,39%,33%,4,69%,72%,76%,678,965
10007849,Abertay University,Q12,2%,6%,6%,36%,49%,0,82%,85%,88%,678,965
10007849,Abertay University,Q13,5%,7%,14%,43%,31%,0,70%,74%,78%,678,965
10007849,Abertay University,Q14,5%,8%,16%,41%,30%,17,67%,71%,74%,661,965
10007849,Abertay University,Scale04,4%,7%,12%,40%,37%,17,73%,76%,80%,678,965
10007849,Abertay University,Q15,7%,11%,17%,42%,23%,2,61%,65%,69%,676,965
10007849,Abertay University,Q16,4%,8%,12%,38%,37%,3,71%,75%,79%,675,965
10007849,Abertay University,Q17,4%,8%,9%,41%,38%,9,75%,78%,82%,669,965
10007849,Abertay University,Scale05,5%,9%,13%,40%,33%,14,69%,73%,76%,678,965
10007849,Abertay University,Q18,6%,6%,13%,35%,41%,19,72%,76%,79%,659,965
10007849,Abertay University,Q19,5%,5%,13%,35%,42%,27,73%,77%,80%,651,965
10007849,Abertay University,Q20,5%,7%,13%,35%,40%,24,71%,75%,79%,654,965
10007849,Abertay University,Scale06,5%,6%,13%,35%,41%,70,72%,76%,79%,677,965
10007849,Abertay University,Q21,10%,15%,20%,31%,24%,3,51%,55%,59%,675,965
10007849,Abertay University,Q22,4%,7%,10%,42%,36%,4,75%,78%,81%,674,965
10007849,Abertay University,Scale07,7%,11%,15%,37%,30%,7,62%,67%,70%,678,965
10007849,Abertay University,Q23,2%,3%,10%,40%,46%,3,82%,86%,88%,675,965
10007849,Abertay University,Q24,7%,8%,14%,37%,34%,5,67%,71%,75%,673,965
10007849,Abertay University,Q25,10%,13%,23%,31%,22%,10,49%,53%,57%,668,965
10007849,Abertay University,Scale08,6%,8%,16%,36%,34%,18,66%,70%,74%,676,965
10007849,Abertay University,Q26,11%,11%,31%,30%,17%,35,43%,47%,51%,643,965
10007849,Abertay University,Q27,4%,7%,9%,41%,38%,6,75%,79%,82%,672,965
10007856,Aberystwyth University,Q01,1%,3%,6%,58%,32%,0,88%,90%,92%,1218,1543
10007856,Aberystwyth University,Q02,1%,4%,10%,51%,33%,0,82%,85%,87%,1218,1543
10007856,Aberystwyth University,Q03,2%,4%,9%,38%,48%,0,83%,85%,87%,1218,1543
10007856,Aberystwyth University,Q04,4%,7%,13%,38%,39%,0,74%,77%,79%,1218,1543
10007856,Aberystwyth University,Scale01,2%,5%,9%,46%,38%,0,82%,84%,86%,1218,1543
10007856,Aberystwyth University,Q05,2%,5%,9%,40%,43%,1,81%,83%,85%,1217,1543
10007856,Aberystwyth University,Q06,2%,4%,9%,39%,46%,0,83%,85%,87%,1218,1543
10007856,Aberystwyth University,Q07,3%,6%,10%,43%,38%,2,78%,81%,83%,1216,1543
10007856,Aberystwyth University,Scale02,2%,5%,10%,41%,42%,3,81%,83%,85%,1218,1543
10007856,Aberystwyth University,Q08,4%,6%,12%,38%,41%,0,76%,78%,81%,1218,1543
10007856,Aberystwyth University,Q09,3%,6%,13%,43%,35%,1,75%,78%,80%,1217,1543
10007856,Aberystwyth University,Q10,4%,6%,11%,43%,36%,0,76%,79%,81%,1218,1543
10007856,Aberystwyth University,Q11,3%,7%,9%,44%,37%,0,79%,81%,83%,1218,1543
10007856,Aberystwyth University,Scale03,3%,6%,11%,42%,37%,1,76%,79%,81%,1218,1543
10007856,Aberystwyth University,Q12,2%,4%,5%,31%,58%,3,87%,89%,91%,1215,1543
10007856,Aberystwyth University,Q13,4%,6%,12%,42%,38%,2,77%,79%,82%,1216,1543
10007856,Aberystwyth University,Q14,3%,7%,15%,38%,38%,29,72%,75%,78%,1189,1543
10007856,Aberystwyth University,Scale04,3%,5%,10%,37%,45%,34,79%,81%,83%,1218,1543
10007856,Aberystwyth University,Q15,5%,8%,13%,45%,29%,0,72%,75%,77%,1218,1543
10007856,Aberystwyth University,Q16,3%,6%,11%,43%,38%,1,78%,80%,83%,1217,1543
10007856,Aberystwyth University,Q17,4%,6%,10%,39%,42%,5,78%,81%,83%,1213,1543
10007856,Aberystwyth University,Scale05,4%,7%,11%,42%,36%,6,76%,79%,81%,1218,1543
10007856,Aberystwyth University,Q18,3%,6%,11%,39%,41%,22,78%,80%,83%,1196,1543
10007856,Aberystwyth University,Q19,4%,6%,10%,36%,43%,30,76%,79%,81%,1188,1543
10007856,Aberystwyth University,Q20,4%,7%,10%,38%,41%,54,76%,79%,82%,1164,1543
10007856,Aberystwyth University,Scale06,4%,6%,11%,38%,41%,106,77%,79%,82%,1218,1543
10007856,Aberystwyth University,Q21,6%,11%,17%,34%,32%,2,63%,66%,69%,1216,1543
10007856,Aberystwyth University,Q22,4%,6%,9%,38%,43%,19,79%,81%,83%,1199,1543
10007856,Aberystwyth University,Scale07,5%,9%,13%,36%,37%,21,70%,73%,76%,1218,1543
10007856,Aberystwyth University,Q23,2%,3%,8%,34%,54%,1,86%,88%,90%,1217,1543
10007856,Aberystwyth University,Q24,4%,4%,13%,35%,44%,7,76%,79%,81%,1211,1543
10007856,Aberystwyth University,Q25,3%,9%,19%,37%,32%,16,66%,69%,72%,1202,1543
10007856,Aberystwyth University,Scale08,3%,5%,13%,35%,43%,24,76%,79%,81%,1217,1543
10007856,Aberystwyth University,Q26,5%,8%,22%,36%,29%,43,61%,64%,67%,1175,1543
10007856,Aberystwyth University,Q27,4%,5%,8%,38%,45%,3,81%,83%,85%,1215,1543
10000055,Abingdon and Witney College,Q01,3%,3%,8%,65%,23%,0,72%,88%,95%,40,56
10000055,Abingdon and Witney College,Q02,5%,5%,3%,64%,23%,1,71%,87%,95%,39,56
10000055,Abingdon and Witney College,Q03,3%,10%,13%,40%,35%,0,58%,75%,87%,40,56
10000055,Abingdon and Witney College,Q04,5%,5%,15%,40%,35%,0,58%,75%,87%,40,56
10000055,Abingdon and Witney College,Scale01,4%,6%,10%,52%,29%,1,65%,81%,91%,40,56
10000055,Abingdon and Witney College,Q05,5%,0%,13%,33%,50%,0,66%,83%,92%,40,56
10000055,Abingdon and Witney College,Q06,0%,3%,10%,53%,35%,0,72%,88%,95%,40,56
10000055,Abingdon and Witney College,Q07,3%,5%,10%,38%,45%,0,66%,83%,92%,40,56
10000055,Abingdon and Witney College,Scale02,3%,3%,11%,41%,43%,0,68%,84%,93%,40,56
10000055,Abingdon and Witney College,Q08,8%,8%,20%,30%,35%,0,48%,65%,79%,40,56
10000055,Abingdon and Witney College,Q09,8%,5%,10%,58%,20%,0,61%,78%,88%,40,56
10000055,Abingdon and Witney College,Q10,5%,23%,15%,33%,25%,0,41%,58%,73%,40,56
10000055,Abingdon and Witney College,Q11,5%,5%,20%,43%,28%,0,53%,70%,83%,40,56
10000055,Abingdon and Witney College,Scale03,6%,10%,16%,41%,27%,0,50%,68%,81%,40,56
10000055,Abingdon and Witney College,Q12,5%,8%,10%,38%,40%,0,61%,78%,88%,40,56
10000055,Abingdon and Witney College,Q13,8%,3%,18%,45%,28%,0,55%,73%,85%,40,56
10000055,Abingdon and Witney College,Q14,3%,3%,11%,54%,30%,3,67%,84%,93%,37,56
10000055,Abingdon and Witney College,Scale04,5%,4%,13%,45%,33%,3,61%,78%,89%,40,56
10000055,Abingdon and Witney College,Q15,8%,10%,10%,53%,20%,0,55%,73%,85%,40,56
10000055,Abingdon and Witney College,Q16,3%,3%,8%,28%,60%,0,72%,88%,95%,40,56
10000055,Abingdon and Witney College,Q17,3%,8%,23%,35%,33%,0,50%,68%,81%,40,56
10000055,Abingdon and Witney College,Scale05,4%,7%,13%,38%,38%,0,59%,76%,87%,40,56
10000055,Abingdon and Witney College,Q18,0%,3%,33%,48%,18%,0,48%,65%,79%,40,56
10000055,Abingdon and Witney College,Q19,5%,10%,15%,38%,31%,1,52%,69%,82%,39,56
10000055,Abingdon and Witney College,Q20,3%,13%,21%,42%,21%,2,46%,63%,78%,38,56
10000055,Abingdon and Witney College,Scale06,3%,8%,23%,42%,24%,3,49%,66%,80%,40,56
10000055,Abingdon and Witney College,Q21,10%,13%,15%,38%,25%,0,45%,63%,77%,40,56
10000055,Abingdon and Witney College,Q22,8%,0%,15%,50%,28%,0,61%,78%,88%,40,56
10000055,Abingdon and Witney College,Scale07,9%,6%,15%,44%,26%,0,53%,70%,83%,40,56
10000055,Abingdon and Witney College,Q23,8%,3%,13%,28%,50%,0,61%,78%,88%,40,56
10000055,Abingdon and Witney College,Q24,10%,3%,3%,38%,48%,0,69%,85%,93%,40,56
10000055,Abingdon and Witney College,Q25,8%,8%,25%,45%,15%,0,43%,60%,75%,40,56
10000055,Abingdon and Witney College,Scale08,8%,4%,13%,37%,38%,0,57%,74%,86%,40,56
10000055,Abingdon and Witney College,Q26,9%,0%,37%,37%,17%,5,37%,54%,71%,35,56
10000055,Abingdon and Witney College,Q27,5%,3%,8%,50%,35%,0,69%,85%,93%,40,56
10046802,Academy of Music & Sound (Exeter) Ltd,Q01,0%,4%,0%,36%,60%,0,78%,96%,99%,25,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q02,4%,4%,8%,28%,56%,0,63%,84%,94%,25,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q03,0%,4%,8%,48%,40%,0,68%,88%,96%,25,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q04,0%,4%,20%,32%,44%,0,54%,76%,89%,25,41
10046802,Academy of Music & Sound (Exeter) Ltd,Scale01,1%,4%,9%,36%,50%,0,65%,86%,95%,25,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q05,0%,4%,20%,36%,40%,0,54%,76%,89%,25,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q06,0%,12%,12%,40%,36%,0,54%,76%,89%,25,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q07,0%,8%,16%,28%,48%,0,54%,76%,89%,25,41
10046802,Academy of Music & Sound (Exeter) Ltd,Scale02,0%,8%,16%,35%,41%,0,54%,76%,89%,25,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q08,0%,4%,17%,29%,50%,1,57%,79%,92%,24,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q09,0%,0%,9%,39%,52%,2,71%,91%,98%,23,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q10,0%,17%,17%,30%,35%,2,43%,65%,82%,23,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q11,0%,5%,14%,23%,59%,3,59%,82%,93%,22,41
10046802,Academy of Music & Sound (Exeter) Ltd,Scale03,0%,6%,18%,29%,47%,8,54%,76%,90%,24,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q12,4%,16%,0%,36%,44%,0,59%,80%,92%,25,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q13,4%,12%,8%,32%,44%,0,54%,76%,89%,25,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q14,4%,12%,8%,24%,52%,0,54%,76%,89%,25,41
10046802,Academy of Music & Sound (Exeter) Ltd,Scale04,4%,13%,5%,31%,47%,0,56%,77%,90%,25,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q15,16%,16%,24%,24%,20%,0,25%,44%,65%,25,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q16,4%,8%,13%,29%,46%,1,53%,75%,89%,24,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q17,4%,16%,16%,24%,40%,0,43%,64%,81%,25,41
10046802,Academy of Music & Sound (Exeter) Ltd,Scale05,9%,13%,17%,26%,35%,1,39%,61%,79%,25,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q18,13%,13%,8%,21%,46%,1,45%,67%,83%,24,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q19,13%,8%,4%,42%,33%,1,53%,75%,89%,24,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q20,8%,20%,20%,28%,24%,0,32%,52%,72%,25,41
10046802,Academy of Music & Sound (Exeter) Ltd,Scale06,11%,14%,11%,31%,33%,2,43%,65%,82%,25,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q21,4%,9%,4%,35%,48%,2,60%,83%,94%,23,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q22,5%,5%,5%,33%,52%,4,63%,86%,96%,21,41
10046802,Academy of Music & Sound (Exeter) Ltd,Scale07,4%,7%,4%,35%,50%,6,63%,85%,95%,23,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q23,4%,8%,4%,21%,63%,1,62%,83%,94%,24,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q24,8%,13%,0%,25%,54%,1,57%,79%,92%,24,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q25,17%,8%,8%,42%,25%,1,45%,67%,83%,24,41
10046802,Academy of Music & Sound (Exeter) Ltd,Scale08,10%,10%,4%,29%,47%,3,54%,76%,90%,24,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q26,4%,13%,30%,30%,22%,2,31%,52%,72%,23,41
10046802,Academy of Music & Sound (Exeter) Ltd,Q27,13%,4%,4%,54%,25%,1,57%,79%,92%,24,41
10000080,Access to Music Limited,Q01,0%,12%,0%,53%,35%,0,63%,88%,97%,17,18
10000080,Access to Music Limited,Q02,0%,6%,12%,59%,24%,0,56%,82%,94%,17,18
10000080,Access to Music Limited,Q03,0%,6%,6%,53%,35%,0,63%,88%,97%,17,18
10000080,Access to Music Limited,Q04,0%,12%,12%,29%,47%,0,50%,76%,91%,17,18
10000080,Access to Music Limited,Scale01,0%,9%,7%,49%,35%,0,58%,84%,95%,17,18
10000080,Access to Music Limited,Q05,0%,12%,6%,53%,29%,0,56%,82%,94%,17,18
10000080,Access to Music Limited,Q06,0%,0%,12%,53%,35%,0,63%,88%,97%,17,18
10000080,Access to Music Limited,Q07,0%,18%,0%,47%,35%,0,56%,82%,94%,17,18
10000080,Access to Music Limited,Scale02,0%,10%,6%,51%,33%,0,58%,84%,95%,17,18
10000080,Access to Music Limited,Q08,0%,6%,18%,41%,35%,0,50%,76%,91%,17,18
10000080,Access to Music Limited,Q09,0%,0%,18%,41%,41%,0,56%,82%,94%,17,18
10000080,Access to Music Limited,Q10,0%,0%,29%,59%,12%,0,44%,71%,88%,17,18
10000080,Access to Music Limited,Q11,0%,6%,12%,41%,41%,0,56%,82%,94%,17,18
10000080,Access to Music Limited,Scale03,0%,3%,19%,46%,32%,0,52%,78%,92%,17,18
10000080,Access to Music Limited,Q12,0%,0%,6%,71%,24%,0,70%,94%,99%,17,18
10000080,Access to Music Limited,Q13,0%,6%,18%,47%,29%,0,50%,76%,91%,17,18
10000080,Access to Music Limited,Q14,0%,0%,24%,47%,29%,0,50%,76%,91%,17,18
10000080,Access to Music Limited,Scale04,0%,2%,16%,55%,27%,0,56%,82%,94%,17,18
10000080,Access to Music Limited,Q15,6%,0%,29%,41%,24%,0,39%,65%,84%,17,18
10000080,Access to Music Limited,Q16,0%,12%,18%,35%,35%,0,44%,71%,88%,17,18
10000080,Access to Music Limited,Q17,0%,12%,12%,35%,41%,0,50%,76%,91%,17,18
10000080,Access to Music Limited,Scale05,2%,8%,20%,37%,33%,0,44%,71%,88%,17,18
10000080,Access to Music Limited,Q18,0%,12%,18%,41%,29%,0,44%,71%,88%,17,18
10000080,Access to Music Limited,Q19,13%,0%,25%,38%,25%,1,36%,63%,83%,16,18
10000080,Access to Music Limited,Q20,12%,6%,18%,29%,35%,0,39%,65%,84%,17,18
10000080,Access to Music Limited,Scale06,9%,7%,20%,35%,29%,1,39%,65%,84%,17,18
10000080,Access to Music Limited,Q21,12%,0%,12%,47%,29%,0,50%,76%,91%,17,18
10000080,Access to Music Limited,Q22,6%,0%,12%,47%,35%,0,56%,82%,94%,17,18
10000080,Access to Music Limited,Scale07,9%,0%,12%,47%,32%,0,53%,79%,93%,17,18
10000080,Access to Music Limited,Q23,0%,6%,12%,59%,24%,0,56%,82%,94%,17,18
10000080,Access to Music Limited,Q24,0%,0%,18%,18%,65%,0,56%,82%,94%,17,18
10000080,Access to Music Limited,Q25,6%,6%,12%,41%,35%,0,50%,76%,91%,17,18
10000080,Access to Music Limited,Scale08,2%,4%,14%,39%,41%,0,54%,80%,93%,17,18
10000080,Access to Music Limited,Q26,6%,12%,47%,18%,18%,0,16%,35%,61%,17,18
10000080,Access to Music Limited,Q27,12%,0%,18%,35%,35%,0,44%,71%,88%,17,18
10067853,ACM Guildford Limited,Q01,3%,14%,11%,53%,18%,0,65%,71%,77%,283,384
10067853,ACM Guildford Limited,Q02,5%,12%,16%,49%,19%,0,61%,67%,73%,283,384
10067853,ACM Guildford Limited,Q03,10%,14%,18%,42%,16%,0,51%,57%,63%,283,384
10067853,ACM Guildford Limited,Q04,11%,14%,19%,34%,22%,0,49%,56%,62%,283,384
10067853,ACM Guildford Limited,Scale01,7%,14%,16%,44%,19%,0,57%,63%,69%,283,384
10067853,ACM Guildford Limited,Q05,7%,15%,17%,39%,21%,2,54%,61%,67%,281,384
10067853,ACM Guildford Limited,Q06,6%,10%,19%,42%,23%,2,59%,65%,71%,281,384
10067853,ACM Guildford Limited,Q07,11%,14%,17%,31%,28%,1,52%,59%,65%,282,384
10067853,ACM Guildford Limited,Scale02,8%,13%,18%,37%,24%,5,55%,61%,68%,283,384
10067853,ACM Guildford Limited,Q08,12%,12%,16%,37%,24%,0,54%,60%,67%,283,384
10067853,ACM Guildford Limited,Q09,10%,11%,21%,39%,19%,1,52%,58%,64%,282,384
10067853,ACM Guildford Limited,Q10,11%,15%,22%,39%,13%,0,46%,52%,58%,283,384
10067853,ACM Guildford Limited,Q11,6%,13%,16%,40%,25%,0,58%,65%,71%,283,384
10067853,ACM Guildford Limited,Scale03,10%,13%,19%,38%,20%,1,52%,59%,65%,283,384
10067853,ACM Guildford Limited,Q12,13%,16%,14%,38%,20%,1,51%,57%,63%,282,384
10067853,ACM Guildford Limited,Q13,12%,15%,18%,40%,16%,1,49%,55%,62%,282,384
10067853,ACM Guildford Limited,Q14,11%,16%,23%,36%,14%,3,44%,50%,57%,280,384
10067853,ACM Guildford Limited,Scale04,12%,16%,18%,38%,16%,5,48%,54%,61%,283,384
10067853,ACM Guildford Limited,Q15,29%,20%,20%,25%,6%,2,26%,31%,38%,281,384
10067853,ACM Guildford Limited,Q16,14%,12%,18%,41%,14%,1,49%,55%,62%,282,384
10067853,ACM Guildford Limited,Q17,17%,23%,21%,28%,12%,5,33%,40%,46%,278,384
10067853,ACM Guildford Limited,Scale05,20%,18%,19%,31%,11%,8,36%,42%,48%,283,384
10067853,ACM Guildford Limited,Q18,15%,17%,19%,36%,13%,5,43%,50%,56%,278,384
10067853,ACM Guildford Limited,Q19,12%,14%,20%,40%,14%,9,48%,54%,61%,274,384
10067853,ACM Guildford Limited,Q20,21%,16%,20%,28%,16%,7,37%,43%,50%,276,384
10067853,ACM Guildford Limited,Scale06,16%,15%,20%,34%,14%,21,42%,49%,55%,281,384
10067853,ACM Guildford Limited,Q21,19%,17%,21%,29%,14%,0,37%,43%,50%,283,384
10067853,ACM Guildford Limited,Q22,10%,13%,17%,41%,19%,2,54%,61%,67%,281,384
10067853,ACM Guildford Limited,Scale07,14%,15%,19%,35%,17%,2,45%,52%,58%,283,384
10067853,ACM Guildford Limited,Q23,12%,19%,22%,33%,14%,2,41%,47%,53%,281,384
10067853,ACM Guildford Limited,Q24,13%,12%,19%,38%,18%,5,50%,57%,63%,278,384
10067853,ACM Guildford Limited,Q25,23%,23%,27%,18%,9%,9,21%,27%,33%,274,384
10067853,ACM Guildford Limited,Scale08,16%,18%,23%,29%,14%,16,37%,43%,50%,282,384
10067853,ACM Guildford Limited,Q26,21%,14%,36%,25%,5%,35,24%,29%,36%,248,384
10067853,ACM Guildford Limited,Q27,20%,18%,18%,34%,9%,4,37%,43%,50%,279,384
10032035,Action on Addiction,Q01,0%,0%,10%,50%,40%,0,56%,90%,98%,10,15
10032035,Action on Addiction,Q02,0%,0%,10%,80%,10%,0,56%,90%,98%,10,15
10032035,Action on Addiction,Q03,0%,0%,0%,40%,60%,0,68%,100%,100%,10,15
10032035,Action on Addiction,Q04,0%,0%,0%,40%,60%,0,68%,100%,100%,10,15
10032035,Action on Addiction,Scale01,0%,0%,5%,53%,43%,0,62%,95%,100%,10,15
10032035,Action on Addiction,Q05,0%,0%,0%,70%,30%,0,68%,100%,100%,10,15
10032035,Action on Addiction,Q06,0%,10%,20%,30%,40%,0,37%,70%,90%,10,15
10032035,Action on Addiction,Q07,10%,10%,0%,50%,30%,0,46%,80%,95%,10,15
10032035,Action on Addiction,Scale02,3%,7%,7%,50%,33%,0,49%,83%,96%,10,15
10032035,Action on Addiction,Q08,0%,0%,0%,40%,60%,0,68%,100%,100%,10,15
10032035,Action on Addiction,Q09,0%,0%,0%,40%,60%,0,68%,100%,100%,10,15
10032035,Action on Addiction,Q10,0%,0%,10%,50%,40%,0,56%,90%,98%,10,15
10032035,Action on Addiction,Q11,0%,0%,10%,30%,60%,0,56%,90%,98%,10,15
10032035,Action on Addiction,Scale03,0%,0%,5%,40%,55%,0,62%,95%,100%,10,15
10032035,Action on Addiction,Q12,0%,10%,10%,30%,50%,0,46%,80%,95%,10,15
10032035,Action on Addiction,Q13,0%,10%,0%,40%,50%,0,56%,90%,98%,10,15
10032035,Action on Addiction,Q14,0%,0%,20%,50%,30%,0,46%,80%,95%,10,15
10032035,Action on Addiction,Scale04,0%,7%,10%,40%,43%,0,49%,83%,96%,10,15
10032035,Action on Addiction,Q15,0%,20%,10%,40%,30%,0,37%,70%,90%,10,15
10032035,Action on Addiction,Q16,0%,10%,30%,40%,20%,0,29%,60%,85%,10,15
10032035,Action on Addiction,Q17,0%,20%,40%,30%,10%,0,15%,40%,71%,10,15
10032035,Action on Addiction,Scale05,0%,17%,27%,37%,20%,0,26%,57%,83%,10,15
10032035,Action on Addiction,Q18,0%,20%,40%,30%,10%,0,15%,40%,71%,10,15
10032035,Action on Addiction,Q19,0%,20%,20%,40%,20%,0,29%,60%,85%,10,15
10032035,Action on Addiction,Q20,0%,22%,33%,22%,22%,1,17%,44%,76%,9,15
10032035,Action on Addiction,Scale06,0%,20%,30%,33%,17%,1,22%,50%,78%,10,15
10032035,Action on Addiction,Q21,0%,20%,20%,40%,20%,0,29%,60%,85%,10,15
10032035,Action on Addiction,Q22,0%,20%,10%,40%,30%,0,37%,70%,90%,10,15
10032035,Action on Addiction,Scale07,0%,20%,15%,40%,25%,0,33%,65%,88%,10,15
10032035,Action on Addiction,Q23,0%,0%,10%,50%,40%,0,56%,90%,98%,10,15
10032035,Action on Addiction,Q24,0%,0%,30%,40%,30%,0,37%,70%,90%,10,15
10032035,Action on Addiction,Q25,0%,10%,20%,50%,20%,0,37%,70%,90%,10,15
10032035,Action on Addiction,Scale08,0%,3%,20%,47%,30%,0,43%,77%,94%,10,15
10032035,Action on Addiction,Q26,0%,0%,50%,40%,10%,0,22%,50%,78%,10,15
10032035,Action on Addiction,Q27,0%,0%,0%,70%,30%,0,68%,100%,100%,10,15
10004927,Activate Learning,Q01,0%,6%,8%,44%,43%,0,78%,87%,92%,105,140
