2019 NSS results split by teaching provider,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,%Agree,,,,,
UKPRN,Provider,Question Number,Answered 1,Answered 2,Answered 3,Answered 4,Answered 5,N/A,Confidence interval - min,Actual value,Confidence interval - max,Response,Sample Size,Two years aggregate data?
10000975,Buckinghamshire New University,Q26,2%,5%,19%,39%,35%,79,70%,74%,76%,1058,1416,
10000975,Buckinghamshire New University,Q27,4%,5%,9%,43%,39%,4,79%,82%,84%,1133,1416,
10000975,Buckinghamshire New University,NHS1,3%,6%,6%,46%,40%,0,81%,86%,89%,306,399,
10000975,Buckinghamshire New University,NHS2,2%,3%,4%,41%,50%,0,87%,91%,94%,306,399,
10000975,Buckinghamshire New University,NHS3,5%,6%,10%,44%,36%,1,74%,79%,84%,305,399,
10000975,Buckinghamshire New University,NHS4,2%,2%,5%,45%,46%,3,87%,91%,94%,303,399,
10000975,Buckinghamshire New University,NHS5,2%,4%,8%,41%,45%,2,81%,86%,90%,304,399,
10000975,Buckinghamshire New University,NHS6,3%,4%,5%,47%,42%,3,84%,89%,92%,303,399,
10000975,Buckinghamshire New University,ScaleNHS,3%,4%,6%,44%,43%,9,82%,87%,91%,306,399,
10001000,Burnley College,Q01,0%,1%,5%,46%,48%,0,86%,94%,98%,83,120,
10001000,Burnley College,Q02,0%,2%,5%,54%,39%,0,84%,93%,97%,83,120,
10001000,Burnley College,Q03,1%,0%,7%,41%,51%,0,83%,92%,96%,83,120,
10001000,Burnley College,Q04,2%,1%,7%,41%,48%,0,80%,89%,95%,83,120,
10001000,Burnley College,Scale01,1%,1%,6%,45%,46%,0,83%,92%,96%,83,120,
10001000,Burnley College,Q05,1%,4%,8%,43%,43%,0,77%,87%,93%,83,120,
10001000,Burnley College,Q06,0%,1%,8%,48%,42%,0,81%,90%,95%,83,120,
10001000,Burnley College,Q07,2%,0%,10%,43%,45%,1,78%,88%,94%,82,120,
10001000,Burnley College,Scale02,1%,2%,9%,45%,43%,1,79%,88%,94%,83,120,
10001000,Burnley College,Q08,2%,8%,11%,37%,41%,0,67%,78%,86%,83,120,
10001000,Burnley College,Q09,0%,4%,17%,39%,41%,0,68%,80%,87%,83,120,
10001000,Burnley College,Q10,5%,7%,11%,31%,46%,0,66%,77%,86%,83,120,
10001000,Burnley College,Q11,2%,4%,6%,44%,44%,1,78%,88%,94%,82,120,
10001000,Burnley College,Scale03,2%,6%,11%,38%,43%,1,70%,81%,88%,83,120,
10001000,Burnley College,Q12,2%,6%,4%,28%,60%,0,78%,88%,94%,83,120,
10001000,Burnley College,Q13,4%,6%,6%,37%,47%,0,74%,84%,91%,83,120,
10001000,Burnley College,Q14,5%,9%,5%,43%,38%,2,70%,81%,89%,81,120,
10001000,Burnley College,Scale04,4%,7%,5%,36%,48%,2,74%,85%,91%,83,120,
10001000,Burnley College,Q15,6%,13%,14%,36%,30%,0,54%,66%,76%,83,120,
10001000,Burnley College,Q16,0%,2%,6%,34%,58%,0,83%,92%,96%,83,120,
10001000,Burnley College,Q17,5%,2%,14%,34%,45%,0,67%,78%,86%,83,120,
10001000,Burnley College,Scale05,4%,6%,12%,35%,44%,0,68%,79%,87%,83,120,
10001000,Burnley College,Q18,0%,4%,11%,41%,44%,2,75%,85%,92%,81,120,
10001000,Burnley College,Q19,1%,2%,7%,30%,59%,2,79%,89%,94%,81,120,
10001000,Burnley College,Q20,1%,1%,13%,26%,59%,3,74%,85%,92%,80,120,
10001000,Burnley College,Scale06,1%,3%,10%,33%,54%,7,76%,86%,93%,83,120,
10001000,Burnley College,Q21,2%,5%,16%,37%,40%,0,66%,77%,86%,83,120,
10001000,Burnley College,Q22,2%,1%,11%,39%,46%,1,75%,85%,92%,82,120,
10001000,Burnley College,Scale07,3%,3%,13%,38%,43%,1,70%,81%,88%,83,120,
10001000,Burnley College,Q23,1%,5%,8%,42%,43%,0,75%,86%,92%,83,120,
10001000,Burnley College,Q24,5%,6%,7%,42%,40%,0,71%,82%,89%,83,120,
10001000,Burnley College,Q25,8%,4%,19%,35%,34%,0,57%,69%,78%,83,120,
10001000,Burnley College,Scale08,5%,5%,12%,40%,39%,0,68%,79%,87%,83,120,
10001000,Burnley College,Q26,4%,4%,33%,30%,29%,10,46%,59%,70%,73,120,
10001000,Burnley College,Q27,4%,4%,6%,48%,39%,0,77%,87%,93%,83,120,
10001004,Burton and South Derbyshire College,Q01,0%,6%,15%,48%,31%,0,64%,79%,89%,48,60,
10001004,Burton and South Derbyshire College,Q02,2%,2%,15%,54%,27%,0,66%,81%,90%,48,60,
10001004,Burton and South Derbyshire College,Q03,2%,6%,13%,50%,29%,0,64%,79%,89%,48,60,
10001004,Burton and South Derbyshire College,Q04,2%,8%,10%,31%,48%,0,64%,79%,89%,48,60,
10001004,Burton and South Derbyshire College,Scale01,2%,6%,13%,46%,34%,0,65%,80%,89%,48,60,
10001004,Burton and South Derbyshire College,Q05,2%,2%,10%,40%,46%,0,71%,85%,93%,48,60,
10001004,Burton and South Derbyshire College,Q06,0%,2%,13%,40%,46%,0,71%,85%,93%,48,60,
10001004,Burton and South Derbyshire College,Q07,0%,6%,10%,54%,29%,0,69%,83%,92%,48,60,
10001004,Burton and South Derbyshire College,Scale02,1%,3%,11%,44%,40%,0,70%,85%,93%,48,60,
10001004,Burton and South Derbyshire College,Q08,10%,4%,23%,31%,31%,0,47%,63%,76%,48,60,
10001004,Burton and South Derbyshire College,Q09,0%,6%,10%,33%,50%,0,69%,83%,92%,48,60,
10001004,Burton and South Derbyshire College,Q10,8%,2%,19%,35%,35%,0,55%,71%,83%,48,60,
10001004,Burton and South Derbyshire College,Q11,2%,6%,13%,35%,44%,0,64%,79%,89%,48,60,
10001004,Burton and South Derbyshire College,Scale03,5%,5%,16%,34%,40%,0,59%,74%,85%,48,60,
10001004,Burton and South Derbyshire College,Q12,4%,8%,8%,29%,50%,0,64%,79%,89%,48,60,
10001004,Burton and South Derbyshire College,Q13,0%,6%,13%,42%,40%,0,66%,81%,90%,48,60,
10001004,Burton and South Derbyshire College,Q14,0%,4%,15%,48%,33%,0,66%,81%,90%,48,60,
10001004,Burton and South Derbyshire College,Scale04,1%,6%,12%,40%,41%,0,66%,81%,90%,48,60,
10001004,Burton and South Derbyshire College,Q15,6%,4%,21%,40%,29%,0,53%,69%,81%,48,60,
10001004,Burton and South Derbyshire College,Q16,0%,4%,21%,46%,29%,0,60%,75%,86%,48,60,
10001004,Burton and South Derbyshire College,Q17,0%,2%,15%,55%,28%,1,68%,83%,92%,47,60,
10001004,Burton and South Derbyshire College,Scale05,2%,3%,19%,47%,29%,1,60%,75%,86%,48,60,
10001004,Burton and South Derbyshire College,Q18,2%,13%,38%,30%,17%,1,32%,47%,62%,47,60,
10001004,Burton and South Derbyshire College,Q19,2%,13%,28%,28%,30%,1,42%,57%,72%,47,60,
10001004,Burton and South Derbyshire College,Q20,4%,6%,17%,46%,27%,0,57%,73%,84%,48,60,
10001004,Burton and South Derbyshire College,Scale06,3%,10%,28%,34%,24%,2,43%,59%,73%,48,60,
10001004,Burton and South Derbyshire College,Q21,2%,8%,23%,35%,31%,0,51%,67%,79%,48,60,
10001004,Burton and South Derbyshire College,Q22,2%,0%,13%,52%,33%,0,71%,85%,93%,48,60,
10001004,Burton and South Derbyshire College,Scale07,2%,4%,18%,44%,32%,0,61%,76%,87%,48,60,
10001004,Burton and South Derbyshire College,Q23,2%,10%,17%,42%,29%,0,55%,71%,83%,48,60,
10001004,Burton and South Derbyshire College,Q24,0%,2%,19%,44%,35%,0,64%,79%,89%,48,60,
10001004,Burton and South Derbyshire College,Q25,2%,4%,33%,31%,29%,0,45%,60%,74%,48,60,
10001004,Burton and South Derbyshire College,Scale08,1%,6%,23%,39%,31%,0,55%,70%,82%,48,60,
10001004,Burton and South Derbyshire College,Q26,2%,9%,37%,35%,17%,2,37%,52%,67%,46,60,
10001004,Burton and South Derbyshire College,Q27,2%,6%,15%,48%,29%,0,62%,77%,87%,48,60,
10001005,Bury College,Q01,6%,13%,8%,42%,31%,0,57%,73%,84%,48,63,
10001005,Bury College,Q02,4%,17%,2%,54%,23%,0,62%,77%,87%,48,63,
10001005,Bury College,Q03,6%,8%,15%,42%,29%,0,55%,71%,83%,48,63,
10001005,Bury College,Q04,6%,6%,15%,33%,40%,0,57%,73%,84%,48,63,
10001005,Bury College,Scale01,6%,11%,10%,43%,31%,0,58%,73%,85%,48,63,
10001005,Bury College,Q05,6%,8%,6%,29%,50%,0,64%,79%,89%,48,63,
10001005,Bury College,Q06,4%,6%,10%,46%,33%,0,64%,79%,89%,48,63,
10001005,Bury College,Q07,6%,8%,6%,38%,42%,0,64%,79%,89%,48,63,
10001005,Bury College,Scale02,6%,8%,8%,38%,42%,0,64%,79%,89%,48,63,
10001005,Bury College,Q08,4%,6%,10%,48%,31%,0,64%,79%,89%,48,63,
10001005,Bury College,Q09,2%,8%,19%,50%,21%,0,55%,71%,83%,48,63,
10001005,Bury College,Q10,8%,13%,21%,35%,23%,0,43%,58%,72%,48,63,
10001005,Bury College,Q11,2%,6%,15%,40%,38%,0,62%,77%,87%,48,63,
10001005,Bury College,Scale03,4%,8%,16%,43%,28%,0,56%,71%,83%,48,63,
10001005,Bury College,Q12,4%,10%,6%,31%,48%,0,64%,79%,89%,48,63,
10001005,Bury College,Q13,13%,4%,15%,33%,35%,0,53%,69%,81%,48,63,
10001005,Bury College,Q14,6%,13%,10%,38%,33%,0,55%,71%,83%,48,63,
10001005,Bury College,Scale04,8%,9%,10%,34%,39%,0,57%,73%,84%,48,63,
10001005,Bury College,Q15,25%,8%,15%,27%,25%,0,37%,52%,67%,48,63,
10001005,Bury College,Q16,10%,2%,6%,38%,44%,0,66%,81%,90%,48,63,
10001005,Bury College,Q17,15%,13%,10%,40%,23%,0,47%,63%,76%,48,63,
10001005,Bury College,Scale05,17%,8%,10%,35%,31%,0,50%,65%,78%,48,63,
10001005,Bury College,Q18,6%,6%,8%,44%,35%,0,64%,79%,89%,48,63,
10001005,Bury College,Q19,4%,2%,15%,60%,19%,0,64%,79%,89%,48,63,
10001005,Bury College,Q20,2%,2%,13%,60%,23%,1,68%,83%,92%,47,63,
10001005,Bury College,Scale06,4%,4%,12%,54%,26%,1,65%,80%,89%,48,63,
10001005,Bury College,Q21,13%,8%,15%,29%,35%,0,49%,65%,78%,48,63,
10001005,Bury College,Q22,2%,2%,21%,40%,34%,1,59%,74%,86%,47,63,
10001005,Bury College,Scale07,7%,5%,18%,35%,34%,1,54%,70%,82%,48,63,
10001005,Bury College,Q23,6%,6%,19%,42%,27%,0,53%,69%,81%,48,63,
10001005,Bury College,Q24,10%,17%,6%,31%,35%,0,51%,67%,79%,48,63,
10001005,Bury College,Q25,15%,19%,19%,29%,19%,0,33%,48%,63%,48,63,
10001005,Bury College,Scale08,10%,14%,15%,34%,27%,0,46%,61%,75%,48,63,
10001005,Bury College,Q26,14%,0%,40%,24%,21%,6,30%,45%,62%,42,63,
10001005,Bury College,Q27,13%,15%,6%,29%,38%,0,51%,67%,79%,48,63,
10001093,Calderdale College,Q01,7%,14%,9%,48%,23%,0,54%,70%,83%,44,69,
10001093,Calderdale College,Q02,7%,14%,11%,45%,23%,0,52%,68%,81%,44,69,
10001093,Calderdale College,Q03,7%,11%,18%,32%,32%,0,47%,64%,77%,44,69,
10001093,Calderdale College,Q04,11%,5%,14%,50%,20%,0,54%,70%,83%,44,69,
10001093,Calderdale College,Scale01,8%,11%,13%,44%,24%,0,52%,68%,81%,44,69,
10001093,Calderdale College,Q05,2%,14%,5%,41%,39%,0,64%,80%,90%,44,69,
10001093,Calderdale College,Q06,5%,9%,5%,45%,36%,0,66%,82%,91%,44,69,
10001093,Calderdale College,Q07,5%,11%,7%,39%,39%,0,61%,77%,88%,44,69,
10001093,Calderdale College,Scale02,4%,11%,5%,42%,38%,0,64%,80%,90%,44,69,
10001093,Calderdale College,Q08,14%,16%,5%,27%,39%,0,50%,66%,79%,44,69,
10001093,Calderdale College,Q09,14%,7%,16%,30%,34%,0,47%,64%,77%,44,69,
10001093,Calderdale College,Q10,19%,14%,14%,30%,23%,1,37%,53%,69%,43,69,
10001093,Calderdale College,Q11,7%,9%,14%,37%,33%,1,53%,70%,82%,43,69,
10001093,Calderdale College,Scale03,14%,11%,12%,31%,32%,2,46%,63%,76%,44,69,
10001093,Calderdale College,Q12,11%,9%,5%,34%,41%,0,59%,75%,86%,44,69,
10001093,Calderdale College,Q13,9%,2%,16%,42%,30%,1,56%,72%,84%,43,69,
10001093,Calderdale College,Q14,5%,7%,16%,41%,32%,0,57%,73%,85%,44,69,
10001093,Calderdale College,Scale04,9%,6%,12%,39%,34%,1,57%,73%,85%,44,69,
10001093,Calderdale College,Q15,20%,30%,14%,14%,23%,0,23%,36%,53%,44,69,
10001093,Calderdale College,Q16,7%,5%,18%,20%,50%,0,54%,70%,83%,44,69,
10001093,Calderdale College,Q17,16%,16%,18%,20%,30%,0,34%,50%,66%,44,69,
10001093,Calderdale College,Scale05,14%,17%,17%,18%,34%,0,37%,52%,68%,44,69,
10001093,Calderdale College,Q18,2%,28%,7%,44%,19%,1,46%,63%,77%,43,69,
10001093,Calderdale College,Q19,7%,11%,14%,43%,25%,0,52%,68%,81%,44,69,
10001093,Calderdale College,Q20,10%,15%,15%,34%,27%,3,44%,61%,76%,41,69,
10001093,Calderdale College,Scale06,6%,19%,11%,41%,23%,4,48%,64%,78%,44,69,
10001093,Calderdale College,Q21,16%,16%,9%,34%,25%,0,43%,59%,74%,44,69,
10001093,Calderdale College,Q22,5%,11%,11%,36%,36%,0,57%,73%,85%,44,69,
10001093,Calderdale College,Scale07,10%,14%,10%,35%,31%,0,50%,66%,79%,44,69,
10001093,Calderdale College,Q23,14%,7%,18%,34%,27%,0,45%,61%,75%,44,69,
10001093,Calderdale College,Q24,9%,18%,16%,27%,30%,0,41%,57%,72%,44,69,
10001093,Calderdale College,Q25,16%,23%,23%,16%,23%,0,25%,39%,55%,44,69,
10001093,Calderdale College,Scale08,13%,16%,19%,26%,27%,0,37%,52%,68%,44,69,
10001093,Calderdale College,Q26,8%,5%,49%,23%,15%,5,24%,38%,56%,39,69,
10001093,Calderdale College,Q27,9%,18%,14%,27%,32%,0,43%,59%,74%,44,69,
10041295,Coleg Cambria,Q01,0%,0%,0%,89%,11%,0,79%,100%,100%,18,23,
10041295,Coleg Cambria,Q02,6%,6%,17%,50%,22%,0,47%,72%,89%,18,23,
10041295,Coleg Cambria,Q03,0%,0%,11%,56%,33%,0,64%,89%,97%,18,23,
10041295,Coleg Cambria,Q04,0%,0%,11%,39%,50%,0,64%,89%,97%,18,23,
10041295,Coleg Cambria,Scale01,1%,1%,10%,58%,29%,0,63%,88%,97%,18,23,
10041295,Coleg Cambria,Q05,0%,0%,11%,56%,33%,0,64%,89%,97%,18,23,
10041295,Coleg Cambria,Q06,0%,6%,11%,33%,50%,0,58%,83%,95%,18,23,
10041295,Coleg Cambria,Q07,0%,0%,6%,44%,50%,0,71%,94%,99%,18,23,
10041295,Coleg Cambria,Scale02,0%,2%,9%,44%,44%,0,64%,89%,97%,18,23,
10041295,Coleg Cambria,Q08,0%,6%,22%,50%,22%,0,47%,72%,89%,18,23,
10041295,Coleg Cambria,Q09,6%,0%,17%,39%,39%,0,52%,78%,92%,18,23,
10041295,Coleg Cambria,Q10,17%,17%,17%,44%,6%,0,27%,50%,73%,18,23,
10041295,Coleg Cambria,Q11,0%,0%,35%,53%,12%,1,39%,65%,84%,17,23,
10041295,Coleg Cambria,Scale03,6%,6%,22%,46%,19%,1,41%,66%,84%,18,23,
10041295,Coleg Cambria,Q12,0%,0%,11%,61%,28%,0,64%,89%,97%,18,23,
10041295,Coleg Cambria,Q13,0%,6%,0%,72%,22%,0,71%,94%,99%,18,23,
10041295,Coleg Cambria,Q14,0%,0%,6%,61%,33%,0,71%,94%,99%,18,23,
10041295,Coleg Cambria,Scale04,0%,2%,6%,65%,28%,0,69%,93%,99%,18,23,
10041295,Coleg Cambria,Q15,0%,22%,11%,44%,22%,0,41%,67%,85%,18,23,
10041295,Coleg Cambria,Q16,0%,0%,0%,56%,44%,0,79%,100%,100%,18,23,
10041295,Coleg Cambria,Q17,0%,6%,6%,56%,33%,0,64%,89%,97%,18,23,
10041295,Coleg Cambria,Scale05,0%,9%,6%,52%,33%,0,60%,85%,96%,18,23,
10041295,Coleg Cambria,Q18,0%,17%,22%,39%,22%,0,36%,61%,81%,18,23,
10041295,Coleg Cambria,Q19,6%,29%,12%,41%,12%,1,29%,53%,76%,17,23,
10041295,Coleg Cambria,Q20,6%,22%,11%,44%,17%,0,36%,61%,81%,18,23,
10041295,Coleg Cambria,Scale06,4%,22%,15%,43%,17%,1,35%,59%,80%,18,23,
10041295,Coleg Cambria,Q21,6%,12%,24%,35%,24%,1,34%,59%,80%,17,23,
10041295,Coleg Cambria,Q22,6%,0%,6%,44%,44%,0,64%,89%,97%,18,23,
10041295,Coleg Cambria,Scale07,6%,6%,14%,42%,33%,1,49%,75%,90%,18,23,
10041295,Coleg Cambria,Q23,0%,11%,6%,33%,50%,0,58%,83%,95%,18,23,
10041295,Coleg Cambria,Q24,0%,18%,6%,35%,41%,1,50%,76%,91%,17,23,
10041295,Coleg Cambria,Q25,0%,17%,33%,33%,17%,0,27%,50%,73%,18,23,
10041295,Coleg Cambria,Scale08,0%,15%,16%,34%,35%,1,44%,69%,87%,18,23,
10041295,Coleg Cambria,Q26,7%,14%,14%,36%,29%,4,36%,64%,85%,14,23,
10041295,Coleg Cambria,Q27,0%,0%,0%,56%,44%,0,79%,100%,100%,18,23,
10010308,Cambridge Arts & Sciences Limited,Q01,0%,0%,10%,62%,29%,0,68%,90%,98%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q02,0%,5%,10%,38%,48%,0,63%,86%,96%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q03,0%,10%,14%,48%,29%,0,53%,76%,90%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q04,0%,10%,0%,29%,62%,0,68%,90%,98%,21,27,
10010308,Cambridge Arts & Sciences Limited,Scale01,0%,6%,8%,44%,42%,0,63%,86%,96%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q05,5%,5%,10%,33%,48%,0,58%,81%,93%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q06,0%,5%,10%,38%,48%,0,63%,86%,96%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q07,0%,5%,5%,52%,38%,0,68%,90%,98%,21,27,
10010308,Cambridge Arts & Sciences Limited,Scale02,2%,5%,8%,41%,44%,0,63%,86%,96%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q08,5%,5%,19%,43%,29%,0,48%,71%,87%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q09,0%,10%,14%,29%,48%,0,53%,76%,90%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q10,0%,10%,5%,29%,57%,0,63%,86%,96%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q11,5%,5%,10%,38%,43%,0,58%,81%,93%,21,27,
10010308,Cambridge Arts & Sciences Limited,Scale03,2%,7%,12%,35%,44%,0,55%,79%,92%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q12,5%,0%,0%,33%,62%,0,75%,95%,99%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q13,0%,10%,14%,33%,43%,0,53%,76%,90%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q14,0%,5%,14%,43%,38%,0,58%,81%,93%,21,27,
10010308,Cambridge Arts & Sciences Limited,Scale04,2%,5%,10%,37%,48%,0,61%,84%,95%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q15,10%,5%,24%,48%,14%,0,39%,62%,81%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q16,10%,19%,19%,19%,33%,0,31%,52%,73%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q17,14%,0%,10%,38%,38%,0,53%,76%,90%,21,27,
10010308,Cambridge Arts & Sciences Limited,Scale05,11%,8%,17%,35%,29%,0,40%,63%,82%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q18,5%,24%,10%,48%,14%,0,39%,62%,81%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q19,10%,14%,24%,48%,5%,0,31%,52%,73%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q20,5%,5%,19%,43%,29%,0,48%,71%,87%,21,27,
10010308,Cambridge Arts & Sciences Limited,Scale06,6%,14%,17%,46%,16%,0,39%,62%,81%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q21,0%,5%,14%,43%,38%,0,58%,81%,93%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q22,0%,10%,10%,48%,33%,0,58%,81%,93%,21,27,
10010308,Cambridge Arts & Sciences Limited,Scale07,0%,7%,12%,45%,36%,0,58%,81%,93%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q23,5%,5%,10%,48%,33%,0,58%,81%,93%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q24,10%,0%,10%,35%,45%,1,56%,80%,93%,20,27,
10010308,Cambridge Arts & Sciences Limited,Q25,10%,5%,20%,40%,25%,1,41%,65%,83%,20,27,
10010308,Cambridge Arts & Sciences Limited,Scale08,8%,3%,13%,43%,33%,2,53%,76%,90%,21,27,
10010308,Cambridge Arts & Sciences Limited,Q26,5%,20%,30%,30%,15%,1,24%,45%,68%,20,27,
10010308,Cambridge Arts & Sciences Limited,Q27,0%,10%,5%,43%,43%,0,63%,86%,96%,21,27,
10001116,Cambridge Regional College,Q01,0%,0%,11%,58%,32%,0,66%,89%,97%,19,21,
10001116,Cambridge Regional College,Q02,0%,0%,32%,37%,32%,0,44%,68%,86%,19,21,
10001116,Cambridge Regional College,Q03,0%,0%,16%,53%,32%,0,60%,84%,95%,19,21,
10001116,Cambridge Regional College,Q04,0%,0%,26%,53%,21%,0,49%,74%,89%,19,21,
10001116,Cambridge Regional College,Scale01,0%,0%,21%,50%,29%,0,54%,79%,92%,19,21,
10001116,Cambridge Regional College,Q05,0%,5%,11%,68%,16%,0,60%,84%,95%,19,21,
10001116,Cambridge Regional College,Q06,0%,0%,11%,58%,32%,0,66%,89%,97%,19,21,
10001116,Cambridge Regional College,Q07,5%,0%,16%,42%,37%,0,54%,79%,92%,19,21,
10001116,Cambridge Regional College,Scale02,2%,2%,12%,56%,28%,0,60%,84%,95%,19,21,
10001116,Cambridge Regional College,Q08,5%,5%,21%,47%,21%,0,44%,68%,86%,19,21,
10001116,Cambridge Regional College,Q09,5%,11%,11%,58%,16%,0,49%,74%,89%,19,21,
10001116,Cambridge Regional College,Q10,0%,5%,5%,58%,32%,0,66%,89%,97%,19,21,
10001116,Cambridge Regional College,Q11,0%,0%,16%,47%,37%,0,60%,84%,95%,19,21,
10001116,Cambridge Regional College,Scale03,3%,5%,13%,53%,26%,0,54%,79%,92%,19,21,
10001116,Cambridge Regional College,Q12,0%,0%,5%,58%,37%,0,73%,95%,99%,19,21,
10001116,Cambridge Regional College,Q13,0%,0%,16%,58%,26%,0,60%,84%,95%,19,21,
10001116,Cambridge Regional College,Q14,0%,0%,16%,58%,26%,0,60%,84%,95%,19,21,
10001116,Cambridge Regional College,Scale04,0%,0%,12%,58%,30%,0,64%,88%,97%,19,21,
10001116,Cambridge Regional College,Q15,5%,5%,32%,47%,11%,0,34%,58%,78%,19,21,
10001116,Cambridge Regional College,Q16,0%,0%,26%,42%,32%,0,49%,74%,89%,19,21,
10001116,Cambridge Regional College,Q17,5%,0%,21%,53%,21%,0,49%,74%,89%,19,21,
10001116,Cambridge Regional College,Scale05,4%,2%,26%,47%,21%,0,44%,68%,86%,19,21,
10001116,Cambridge Regional College,Q18,0%,11%,16%,68%,5%,0,49%,74%,89%,19,21,
10001116,Cambridge Regional College,Q19,0%,5%,26%,53%,16%,0,44%,68%,86%,19,21,
10001116,Cambridge Regional College,Q20,0%,0%,16%,58%,26%,0,60%,84%,95%,19,21,
10001116,Cambridge Regional College,Scale06,0%,5%,19%,60%,16%,0,51%,75%,90%,19,21,
10001116,Cambridge Regional College,Q21,5%,5%,16%,32%,42%,0,49%,74%,89%,19,21,
10001116,Cambridge Regional College,Q22,0%,0%,16%,32%,53%,0,60%,84%,95%,19,21,
10001116,Cambridge Regional College,Scale07,3%,3%,16%,32%,47%,0,54%,79%,92%,19,21,
10001116,Cambridge Regional College,Q23,0%,0%,11%,42%,47%,0,66%,89%,97%,19,21,
10001116,Cambridge Regional College,Q24,0%,5%,11%,32%,53%,0,60%,84%,95%,19,21,
10001116,Cambridge Regional College,Q25,0%,5%,21%,53%,21%,0,49%,74%,89%,19,21,
10001116,Cambridge Regional College,Scale08,0%,4%,14%,42%,40%,0,58%,82%,94%,19,21,
10001116,Cambridge Regional College,Q26,0%,6%,47%,35%,12%,2,24%,47%,71%,17,21,
10001116,Cambridge Regional College,Q27,0%,0%,21%,42%,37%,0,54%,79%,92%,19,21,
10032072,The Cambridge Theological Federation,Q01,0%,7%,0%,67%,27%,0,67%,93%,99%,15,28,
10032072,The Cambridge Theological Federation,Q02,0%,0%,13%,73%,13%,0,59%,87%,97%,15,28,
10032072,The Cambridge Theological Federation,Q03,0%,7%,7%,53%,33%,0,59%,87%,97%,15,28,
10032072,The Cambridge Theological Federation,Q04,7%,0%,7%,53%,33%,0,59%,87%,97%,15,28,
10032072,The Cambridge Theological Federation,Scale01,2%,3%,7%,62%,27%,0,61%,88%,97%,15,28,
10032072,The Cambridge Theological Federation,Q05,0%,7%,7%,53%,33%,0,59%,87%,97%,15,28,
10032072,The Cambridge Theological Federation,Q06,0%,0%,7%,40%,53%,0,67%,93%,99%,15,28,
10032072,The Cambridge Theological Federation,Q07,7%,7%,20%,20%,47%,0,39%,67%,86%,15,28,
10032072,The Cambridge Theological Federation,Scale02,2%,4%,11%,38%,44%,0,54%,82%,95%,15,28,
10032072,The Cambridge Theological Federation,Q08,7%,13%,20%,27%,33%,0,34%,60%,82%,15,28,
10032072,The Cambridge Theological Federation,Q09,0%,13%,27%,47%,13%,0,34%,60%,82%,15,28,
10032072,The Cambridge Theological Federation,Q10,7%,7%,27%,40%,20%,0,34%,60%,82%,15,28,
10032072,The Cambridge Theological Federation,Q11,0%,20%,20%,47%,13%,0,34%,60%,82%,15,28,
10032072,The Cambridge Theological Federation,Scale03,3%,13%,23%,40%,20%,0,34%,60%,82%,15,28,
10032072,The Cambridge Theological Federation,Q12,0%,0%,7%,53%,40%,0,67%,93%,99%,15,28,
10032072,The Cambridge Theological Federation,Q13,0%,0%,20%,60%,20%,0,52%,80%,94%,15,28,
10032072,The Cambridge Theological Federation,Q14,0%,7%,21%,43%,29%,1,43%,71%,89%,14,28,
10032072,The Cambridge Theological Federation,Scale04,0%,2%,16%,52%,30%,1,54%,82%,95%,15,28,
10032072,The Cambridge Theological Federation,Q15,0%,20%,40%,40%,0%,0,18%,40%,66%,15,28,
10032072,The Cambridge Theological Federation,Q16,0%,20%,20%,27%,33%,0,34%,60%,82%,15,28,
10032072,The Cambridge Theological Federation,Q17,0%,7%,40%,33%,20%,0,28%,53%,77%,15,28,
10032072,The Cambridge Theological Federation,Scale05,0%,16%,33%,33%,18%,0,26%,51%,75%,15,28,
10032072,The Cambridge Theological Federation,Q18,0%,7%,7%,53%,33%,0,59%,87%,97%,15,28,
10032072,The Cambridge Theological Federation,Q19,0%,7%,20%,40%,33%,0,45%,73%,90%,15,28,
10032072,The Cambridge Theological Federation,Q20,0%,0%,21%,57%,21%,1,50%,79%,93%,14,28,
10032072,The Cambridge Theological Federation,Scale06,0%,4%,16%,51%,29%,1,52%,80%,94%,15,28,
10032072,The Cambridge Theological Federation,Q21,0%,0%,13%,20%,67%,0,59%,87%,97%,15,28,
